,Unnamed: 0,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,0,Hilo,90,US,1587244334,51,19.73,-155.09,27.0,4.1
1,1,Labuhan,76,ID,1587244334,85,-6.88,112.21,25.89,1.7
2,2,East London,0,ZA,1587244334,66,-33.02,27.91,21.79,7.84
3,3,Vao,74,NC,1587244334,69,-22.67,167.48,24.27,4.49
4,4,Vaini,75,TO,1587244334,78,-21.2,-175.2,26.0,5.1
5,5,Ternate,51,ID,1587244335,80,0.8,127.4,26.59,1.4
6,6,Flin Flon,20,CA,1587244335,37,54.77,-101.86,-6.0,6.7
7,7,Busselton,100,AU,1587244335,73,-33.65,115.33,17.22,11.14
8,8,Dalvik,75,IS,1587244336,75,65.97,-18.53,7.0,12.3
9,9,Arraial do Cabo,40,BR,1587244297,83,-22.97,-42.03,23.0,4.6
10,10,Katsuura,20,JP,1587244336,82,35.13,140.3,13.89,2.6
11,11,Ushuaia,40,AR,1587244337,69,-54.8,-68.3,11.0,6.2
12,12,Faanui,26,PF,1587244337,73,-16.48,-151.75,28.26,4.28
13,13,Atuona,89,PF,1587244338,79,-9.8,-139.03,28.04,8.21
14,14,Goderich,46,CA,1587244338,48,43.75,-81.72,11.67,7.74
15,15,Port Alfred,0,ZA,1587244297,95,-33.59,26.89,17.78,2.24
16,16,Khatanga,0,RU,1587244338,93,71.97,102.5,-12.48,2.26
17,17,Castro,43,BR,1587244335,58,-24.79,-50.01,16.26,1.66
18,18,Tilichiki,0,RU,1587244338,90,60.47,166.1,-13.65,4.47
19,19,Baykit,0,RU,1587244338,91,61.67,96.37,-7.25,0.67
20,20,Mondragone,40,IT,1587244339,88,41.11,13.89,17.0,2.6
21,21,Saskylakh,0,RU,1587244339,79,71.92,114.08,-13.06,2.4
22,22,Bowen,90,AU,1587244339,100,-20.02,148.23,23.33,0.5
23,23,Ugoofaaru,3,MV,1587244339,73,5.67,73.0,29.95,4.61
24,24,Kapaa,1,US,1587244339,61,22.08,-159.32,26.0,5.7
25,25,Salalah,40,OM,1587244339,74,17.02,54.09,28.0,2.1
26,26,Sisimiut,100,GL,1587244339,92,66.94,-53.67,-4.5,0.95
27,27,Jamestown,75,US,1587244057,45,42.1,-79.24,6.0,7.2
28,28,Vardø,91,NO,1587244321,82,70.37,31.11,2.3,8.91
29,29,Kavieng,92,PG,1587244304,78,-2.57,150.8,27.71,1.79
30,30,Mataura,100,NZ,1587244340,88,-46.19,168.86,7.78,3.13
31,31,Codrington,72,AU,1587244340,84,-38.27,141.97,10.54,3.79
32,32,Shihezi,36,CN,1587244340,40,44.3,86.03,13.48,0.97
33,33,Santa Rosa,20,PH,1587244218,78,14.31,121.11,28.0,2.1
34,34,La Rioja,90,ES,1587244340,100,42.25,-2.5,13.0,3.1
35,35,Rikitea,18,PF,1587244340,73,-23.12,-134.97,25.05,3.37
36,36,Marawi,68,PH,1587244340,69,8.0,124.29,19.76,1.27
37,37,Kirillov,97,RU,1587244340,97,59.86,38.38,-0.63,1.64
38,38,Kashgar,40,CN,1587244340,62,39.45,75.98,12.0,2.0
39,39,Mount Gambier,90,AU,1587244341,100,-37.83,140.77,8.0,0.5
40,40,Saint-Philippe,10,RE,1587244305,78,-21.36,55.77,24.0,4.1
41,41,Wilmington,1,US,1587244129,38,34.23,-77.94,25.0,8.2
42,42,Gemlik,0,TR,1587244139,76,40.43,29.16,16.11,1.5
43,43,Klaksvík,0,FO,1587244341,81,62.23,-6.59,6.0,5.1
44,44,Hermanus,69,ZA,1587244303,57,-34.42,19.23,18.33,0.89
45,45,Severo-Kuril'sk,9,RU,1587244341,88,50.68,156.12,1.33,4.5
46,46,Paragominas,52,BR,1587244341,85,-2.97,-47.48,25.89,0.63
47,47,Qaanaaq,100,GL,1587244341,87,77.48,-69.36,-6.25,4.21
48,48,Nabire,100,ID,1587244341,87,-3.37,135.48,24.98,1.78
49,49,New Norfolk,60,AU,1587244296,87,-42.78,147.06,6.11,1.09
50,50,Narsaq,88,GL,1587244341,92,60.92,-46.05,0.0,2.6
51,51,Saint Paul Harbor,1,US,1587244341,76,57.79,-152.41,9.0,5.1
52,52,Kaitangata,100,NZ,1587244322,83,-46.28,169.85,10.0,1.79
53,53,Neuquén,100,AR,1587244342,25,-38.95,-68.06,31.0,4.1
54,54,Nome,90,US,1587244314,100,64.5,-165.41,1.11,3.6
55,55,Barrow,1,US,1587244332,77,71.29,-156.79,-17.0,6.2
56,56,Thompson,40,CA,1587244317,47,55.74,-97.86,-9.0,4.1
57,57,Bakel,99,SN,1587244342,19,14.9,-12.46,28.67,7.18
58,58,Port Elizabeth,0,ZA,1587244316,93,-33.92,25.57,18.0,1.0
59,59,Butaritari,76,KI,1587244342,77,3.07,172.79,28.45,7.07
60,60,Along,68,IN,1587244342,68,28.17,94.77,18.0,1.16
61,61,Maturin,41,VE,1587244342,37,9.75,-63.18,32.17,4.81
62,62,Hobart,75,AU,1587244108,87,-42.88,147.33,7.22,2.1
63,63,Pacific Grove,90,US,1587244343,55,36.62,-121.92,17.22,5.1
64,64,Souillac,40,MU,1587244343,88,-20.52,57.52,25.56,6.7
65,65,Fortuna,75,US,1587244343,81,40.6,-124.16,15.0,3.01
66,66,Port-Gentil,40,GA,1587244343,88,-0.72,8.78,28.0,3.1
67,67,Upernavik,100,GL,1587244343,90,72.79,-56.15,-4.19,10.63
68,68,Aripuanã,98,BR,1587244061,80,-9.17,-60.63,26.12,0.97
69,69,Campbellton,72,CA,1587244343,76,48.01,-66.67,2.84,1.37
70,70,Carnarvon,54,AU,1587244339,88,-24.87,113.63,23.0,5.7
71,71,Ostrovnoy,99,RU,1587244343,97,68.05,39.51,-0.79,3.85
72,72,Bredasdorp,46,ZA,1587244343,93,-34.53,20.04,12.0,2.1
73,73,Ulladulla,89,AU,1587244300,93,-35.35,150.47,11.67,3.6
74,74,George Town,40,MY,1587244344,94,5.41,100.34,28.0,1.5
75,75,Esperance,90,AU,1587244319,100,-33.87,121.9,15.0,4.6
76,76,Requena,100,ES,1587244344,94,39.49,-1.1,14.44,2.84
77,77,Abancay,14,PE,1587244175,27,-13.63,-72.88,18.87,3.25
78,78,Lompoc,90,US,1587244047,63,34.64,-120.46,16.11,5.7
79,79,Poum,74,NC,1587244333,77,-20.23,164.02,25.68,6.35
80,80,Saldanha,92,ZA,1587244344,39,-33.01,17.94,19.0,2.1
81,81,Zhuhai,40,CN,1587244344,100,22.28,113.57,24.0,2.1
82,82,Horta,75,PT,1587244345,93,38.53,-28.63,17.0,8.2
83,83,Eisenberg,100,DE,1587244345,51,50.97,11.9,12.78,2.92
84,84,Sur,28,OM,1587244345,57,22.57,59.53,28.02,3.06
85,85,Talnakh,100,RU,1587244345,74,69.49,88.4,3.0,16.0
86,86,Nizhniy Kuranakh,89,RU,1587244289,89,58.84,125.49,-13.8,1.59
87,87,Tura,10,IN,1587244345,75,25.52,90.22,18.95,1.22
88,88,Ahipara,87,NZ,1587244345,82,-35.17,173.17,18.68,3.7
89,89,Pueblo,1,US,1587244231,14,38.25,-104.61,22.0,2.1
90,90,Russell,1,US,1587244332,42,32.35,-85.2,27.0,4.6
91,91,Srednekolymsk,77,RU,1587244345,90,67.45,153.68,-20.86,4.27
92,92,Bluff,100,NZ,1587244345,88,-46.6,168.33,7.78,3.13
93,93,Prabumulih,75,ID,1587244346,97,-3.45,104.25,23.82,0.76
94,94,Kodinsk,0,RU,1587244346,93,58.69,99.18,-5.79,1.51
95,95,Staritsa,93,RU,1587244346,89,56.51,34.94,1.26,3.41
96,96,Lac du Bonnet,93,CA,1587244346,65,50.25,-96.06,2.22,3.13
97,97,Cape Town,91,ZA,1587244346,59,-33.93,18.42,17.0,0.5
98,98,Kushima,44,JP,1587244346,76,31.46,131.23,11.67,2.02
99,99,Yangi Marg`ilon,4,UZ,1587244346,62,40.43,71.72,13.0,1.0
100,100,Punta Arenas,40,CL,1587244346,43,-53.15,-70.92,13.0,6.7
101,101,Berdigestyakh,96,RU,1587244346,92,62.1,126.7,-14.88,1.33
102,102,Sabang,76,ID,1587244347,72,5.89,95.32,28.02,1.47
103,103,Chui,18,UY,1587244347,82,-33.7,-53.46,19.24,3.23
104,104,Mount Isa,0,AU,1587244347,30,-20.73,139.5,21.0,3.6
105,105,Namwala,72,ZM,1587244347,55,-15.75,26.44,19.03,1.48
106,106,Ribeira Grande,75,PT,1587244347,93,38.52,-28.7,17.0,8.2
107,107,Philadelphia,90,US,1587244130,49,39.95,-75.16,9.0,10.8
108,108,Cho Dok,99,VN,1587244251,78,10.7,105.12,26.76,2.61
109,109,Amlapura,40,ID,1587244348,100,-8.45,115.62,27.0,0.5
110,110,Hirado,98,JP,1587244348,76,33.36,129.55,12.78,4.02
111,111,Mahébourg,40,MU,1587244348,88,-20.41,57.7,25.56,6.7
112,112,Ilulissat,100,GL,1587244206,79,69.22,-51.1,-4.0,1.5
113,113,Albany,93,US,1587244348,60,42.6,-73.97,7.78,1.79
114,114,Hasaki,75,JP,1587244348,81,35.73,140.83,12.0,2.6
115,115,Maryville,1,US,1587244207,43,35.76,-83.97,16.11,2.1
116,116,Puerto Ayora,75,EC,1587244349,70,-0.74,-90.35,30.0,3.6
117,117,Mar del Plata,1,AR,1587244287,53,-38.0,-57.56,23.0,5.1
118,118,Wadi Maliz,100,TN,1587244349,68,36.47,8.55,22.0,1.5
119,119,Olafsvik,100,IS,1587244349,88,64.89,-23.71,1.42,1.17
120,120,Vostok,41,RU,1587244349,71,46.49,135.88,2.73,1.7
121,121,Sept-Îles,75,CA,1587244141,69,50.2,-66.38,2.22,5.1
122,122,Puerto del Rosario,20,ES,1587244349,72,28.5,-13.86,19.0,4.1
123,123,Bagotville,13,AU,1587244349,100,-28.98,153.42,16.11,1.5
124,124,Flinders,71,AU,1587244126,84,-34.58,150.86,11.67,2.82
125,125,Vigeland,0,NO,1587244350,70,58.08,7.3,6.67,1.34
126,126,São Félix do Xingu,75,BR,1587244350,81,-6.64,-51.99,25.47,0.62
127,127,Port Hardy,20,CA,1587244350,81,50.7,-127.42,10.0,3.1
128,128,Itarema,33,BR,1587244350,81,-2.92,-39.92,26.21,1.75
129,129,Yellowknife,90,CA,1587244350,85,62.46,-114.35,-5.0,6.7
130,130,Chokurdakh,100,RU,1587244350,88,70.63,147.92,-21.51,3.84
131,131,Praia,40,CV,1587244346,60,14.92,-23.51,23.0,9.3
132,132,Sudak,40,UA,1587244351,67,44.85,34.97,10.33,0.35
